gold_clips_pvs,gold_clips_src,gold_clips_ans
https://d2ohiy53hu70uz.cloudfront.net/1080_videoSRC14_24.mp4,https://d2ohiy53hu70uz.cloudfront.net/1080_videoSRC14_24.mp4,9
https://d2ohiy53hu70uz.cloudfront.net/1080_videoSRC22_24.mp4,https://d2ohiy53hu70uz.cloudfront.net/1080_videoSRC22_24.mp4,9
https://d2ohiy53hu70uz.cloudfront.net/1080_videoSRC25_24.mp4,https://d2ohiy53hu70uz.cloudfront.net/1080_videoSRC25_24.mp4,9
https://d2ohiy53hu70uz.cloudfront.net/720_videoSRC05_24.mp4,https://d2ohiy53hu70uz.cloudfront.net/720_videoSRC05_24.mp4,9
https://d2ohiy53hu70uz.cloudfront.net/720_videoSRC14_24.mp4,https://d2ohiy53hu70uz.cloudfront.net/720_videoSRC14_24.mp4,9
https://d2ohiy53hu70uz.cloudfront.net/720_videoSRC22_24.mp4,https://d2ohiy53hu70uz.cloudfront.net/720_videoSRC22_24.mp4,9
https://d2ohiy53hu70uz.cloudfront.net/720_videoSRC23_24.mp4,https://d2ohiy53hu70uz.cloudfront.net/720_videoSRC23_24.mp4,9
https://d2ohiy53hu70uz.cloudfront.net/720_videoSRC25_24.mp4,https://d2ohiy53hu70uz.cloudfront.net/720_videoSRC25_24.mp4,9
https://d2ohiy53hu70uz.cloudfront.net/720_videoSRC25_24.mp4,https://d2ohiy53hu70uz.cloudfront.net/720_videoSRC25_24.mp4,9
